,Data point indexes,Forecast data points(%)
0,49.4,49.4
1,61.079,61.079
2,61.7416,61.7416
3,62.114,62.114
4,62.3234,62.3234
5,62.441,62.441
6,62.5071,62.5071
7,62.5443,62.5443
8,62.5651,62.5651
9,62.5769,62.5769
10,62.5835,62.5835
11,58.8118,58.8118
12,58.4322,58.4322
13,58.2999,58.2999
14,58.2537,58.2537
15,58.2376,58.2376
16,58.232,58.232
17,58.23,58.23
18,58.2293,58.2293
19,58.2291,58.2291
20,58.229,58.229
21,56.3428,56.3428
22,56.3681,56.3681
23,56.3675,56.3675
24,56.3675,56.3675
25,56.3675,56.3675
26,56.3675,56.3675
27,56.3675,56.3675
28,56.3675,56.3675
29,56.3675,56.3675
30,56.3675,56.3675
31,55.1898,55.1898
32,55.2616,55.2616
33,55.2794,55.2794
34,55.2838,55.2838
35,55.2849,55.2849
36,55.2852,55.2852
37,55.2853,55.2853
38,55.2853,55.2853
39,55.2853,55.2853
40,55.2853,55.2853
41,29.7604,29.7604
42,29.7604,29.7604
43,29.7604,29.7604
44,29.7604,29.7604
45,29.7604,29.7604
46,29.7604,29.7604
47,29.7604,29.7604
48,29.7604,29.7604
49,29.7604,29.7604
50,29.7604,29.7604
51,40.3428,40.3428
52,40.2253,40.2253
53,40.2302,40.2302
54,40.23,40.23
55,40.23,40.23
56,40.23,40.23
57,40.23,40.23
58,40.23,40.23
59,40.23,40.23
60,40.23,40.23
61,72.6444,72.6444
62,70.5533,70.5533
63,71.002,71.002
64,70.9057,70.9057
65,70.9264,70.9264
66,70.922,70.922
67,70.9229,70.9229
68,70.9227,70.9227
69,70.9227,70.9227
70,70.9227,70.9227
71,54.5889,54.5889
72,54.4535,54.4535
73,54.517,54.517
74,54.4872,54.4872
75,54.5012,54.5012
76,54.4946,54.4946
77,54.4977,54.4977
78,54.4962,54.4962
79,54.4969,54.4969
80,54.4966,54.4966
81,59.651,59.651
82,58.0962,58.0962
83,59.2749,59.2749
84,58.3813,58.3813
85,59.0587,59.0587
86,58.5452,58.5452
87,58.9345,58.9345
88,58.6394,58.6394
89,58.8631,58.8631
90,58.6935,58.6935
91,53.3776,53.3776
92,51.9738,51.9738
93,51.652,51.652
94,51.5782,51.5782
95,51.5613,51.5613
96,51.5574,51.5574
97,51.5565,51.5565
98,51.5563,51.5563
99,51.5563,51.5563
100,51.5563,51.5563
101,42.8847,42.8847
102,41.2436,41.2436
103,39.9704,39.9704
104,38.9826,38.9826
105,38.2163,38.2163
106,37.6218,37.6218
107,37.1606,37.1606
108,36.8027,36.8027
109,36.5251,36.5251
110,36.3098,36.3098
111,55.018,55.018
112,55.2029,55.2029
113,55.3595,55.3595
114,55.4923,55.4923
115,55.6048,55.6048
116,55.7002,55.7002
117,55.781,55.781
118,55.8495,55.8495
119,55.9076,55.9076
120,55.9568,55.9568
