,Date,% in %
0,1995-01,37.0
1,1995-02,43.5
2,1995-03,52.5
3,1995-04,61.8
4,1995-05,65.2
5,1995-06,59.5
6,1995-07,60.5
7,1995-08,56.1
8,1995-09,57.7
9,1995-10,59.9
10,1995-11,55.2
11,1995-12,44.8
12,1996-01,44.4
13,1996-02,40.4
14,1996-03,52.9
15,1996-04,61.6
16,1996-05,65.3
17,1996-06,66.9
18,1996-07,63.1
19,1996-08,59.9
20,1996-09,58.8
21,1996-10,58.9
22,1996-11,50.3
23,1996-12,44.0
24,1997-01,38.1
25,1997-02,26.8
26,1997-03,38.7
27,1997-04,62.6
28,1997-05,64.1
29,1997-06,57.4
30,1997-07,61.3
31,1997-08,53.6
32,1997-09,47.3
33,1997-10,62.1
34,1997-11,60.5
35,1997-12,59.6
36,1998-01,56.0
37,1998-02,52.8
38,1998-03,42.9
39,1998-04,54.9
40,1998-05,65.1
41,1998-06,61.3
42,1998-07,61.8
43,1998-08,58.3
44,1998-09,50.5
45,1998-10,60.2
46,1998-11,46.3
47,1998-12,32.7
48,1999-01,33.4
49,1999-02,29.7
50,1999-03,56.3
51,1999-04,59.8
52,1999-05,61.2
53,1999-06,55.0
54,1999-07,58.7
55,1999-08,53.2
56,1999-09,49.5
57,1999-10,58.7
58,1999-11,42.8
59,1999-13,37.5
60,2000-01,28.5
61,2000-02,25.0
62,2000-03,30.1
63,2000-04,51.7
64,2000-05,62.3
65,2000-06,54.9
66,2000-07,56.5
67,2000-08,58.8
68,2000-09,52.2
69,2000-10,62.9
70,2000-11,49.0
71,2000-12,38.5
72,2001-01,42.3
73,2001-02,37.6
74,2001-03,43.7
75,2001-04,61.2
76,2001-05,63.2
77,2001-06,59.7
78,2001-07,55.6
79,2001-08,54.3
80,2001-09,59.9
81,2001-10,61.6
82,2001-11,52.1
83,2001-12,40.7
84,2002-01,43.3
85,2002-02,31.1
86,2002-03,52.4
87,2002-04,57.2
88,2002-05,62.9
89,2002-06,57.6
90,2002-07,51.9
91,2002-08,51.6
92,2002-09,50.6
93,2002-10,61.0
94,2002-11,50.1
95,2002-12,54.2
96,2003-01,47.6
97,2003-02,38.8
98,2003-03,47.8
99,2003-04,59.5
100,2003-05,73.0
101,2003-06,76.2
102,2003-07,74.3
103,2003-08,74.1
104,2003-09,68.3
105,2003-10,66.6
106,2003-11,58.4
107,2003-12,49.3
108,2004-01,48.0
109,2004-02,45.0
110,2004-03,43.1
