,Date,°C in °C
0,1995-01,28.5
1,1995-02,28.3
2,1995-03,28.0
3,1995-04,27.8
4,1995-05,27.2
5,1995-06,26.6
6,1995-07,24.9
7,1995-08,25.4
8,1995-09,26.0
9,1995-10,26.4
10,1995-11,26.5
11,1995-12,27.1
12,1996-01,27.5
13,1996-02,28.8
14,1996-03,28.3
15,1996-04,27.6
16,1996-05,26.7
17,1996-06,24.8
18,1996-07,24.6
19,1996-08,25.1
20,1996-09,25.8
21,1996-10,26.1
22,1996-11,26.6
23,1996-12,26.7
24,1997-01,28.2
25,1997-02,30.4
26,1997-03,30.4
27,1997-04,27.1
28,1997-05,26.8
29,1997-06,26.5
30,1997-07,25.0
31,1997-08,26.3
32,1997-09,28.1
33,1997-10,26.3
34,1997-11,26.5
35,1997-12,26.4
36,1998-01,27.0
37,1998-02,28.0
38,1998-03,29.7
39,1998-04,29.0
40,1998-05,27.7
41,1998-06,26.3
42,1998-07,24.6
43,1998-08,24.9
44,1998-09,26.6
45,1998-10,26.0
46,1998-11,27.1
47,1998-12,28.5
48,1999-01,29.0
49,1999-02,30.7
50,1999-03,27.6
51,1999-04,27.5
52,1999-05,26.6
53,1999-06,26.2
54,1999-07,24.5
55,1999-08,25.7
56,1999-09,26.7
57,1999-10,25.5
58,1999-11,27.4
59,1999-13,27.8
60,2000-01,29.7
61,2000-02,31.0
62,2000-03,31.2
63,2000-04,28.3
64,2000-05,26.5
65,2000-06,26.0
66,2000-07,24.8
67,2000-08,24.6
68,2000-09,26.5
69,2000-10,25.7
70,2000-11,26.6
71,2000-12,27.7
72,2001-01,27.2
73,2001-02,28.8
74,2001-03,28.7
75,2001-04,27.5
76,2001-05,26.7
77,2001-06,25.5
78,2001-07,25.3
79,2001-08,25.7
80,2001-09,26.3
81,2001-10,26.4
82,2001-11,26.3
83,2001-12,27.5
84,2002-01,27.7
85,2002-02,29.8
86,2002-03,27.9
87,2002-04,28.1
88,2002-05,26.8
89,2002-06,25.7
90,2002-07,26.2
91,2002-08,25.8
92,2002-09,26.9
93,2002-10,26.3
94,2002-11,27.2
95,2002-12,26.9
96,2003-01,23.1
97,2003-02,24.6
98,2003-03,24.4
99,2003-04,23.4
100,2003-05,22.3
101,2003-06,19.9
102,2003-07,18.9
103,2003-08,19.3
104,2003-09,20.7
105,2003-10,21.7
106,2003-11,22.0
107,2003-12,22.6
108,2004-01,23.5
109,2004-02,23.8
110,2004-03,24.5
111,2004-04,22.9
112,2004-05,21.8
113,2004-06,20.1
114,2004-07,19.4
115,2004-08,19.8
116,2004-09,20.3
117,2004-10,21.3
118,2004-11,21.8
119,2004-12,22.2
120,2005-01,23.3
121,2005-02,25.6
122,2005-03,24.0
123,2005-04,23.6
124,2005-05,21.8
125,2005-06,20.1
126,2005-07,19.3
127,2005-08,20.0
128,2005-09,20.7
129,2005-10,21.1
130,2005-11,22.1
131,2005-12,24.3
132,2006-01,24.4
133,2006-02,24.3
134,2006-03,23.3
135,2006-04,22.7
136,2006-05,22.2
137,2006-06,20.7
138,2006-07,19.5
139,2006-08,19.5
140,2006-09,20.0
141,2006-10,21.2
142,2006-11,21.7
143,2006-12,22.0
144,2007-01,22.9
145,2007-02,23.8
146,2007-03,24.4
147,2007-04,23.3
148,2007-05,22.2
149,2007-06,20.0
150,2007-07,19.5
151,2007-08,19.3
152,2007-09,20.3
153,2007-10,21.2
154,2007-11,22.1
155,2007-12,23.4
156,2008-01,24.4
157,2008-02,24.8
158,2008-03,24.4
159,2008-04,22.9
160,2008-05,21.9
161,2008-06,20.0
162,2008-07,19.2
163,2008-08,19.6
164,2008-09,20.8
165,2008-10,20.9
166,2008-11,21.8
167,2008-12,23.6
168,2009-01,24.2
169,2009-02,24.2
170,2009-03,24.9
171,2009-04,23.1
172,2009-05,22.2
173,2009-06,21.3
174,2009-07,20.3
175,2009-08,20.5
176,2009-09,20.9
177,2009-10,21.3
178,2009-11,22.3
179,2009-12,22.1
180,2010-01,23.1
181,2010-02,23.6
182,2010-03,23.8
183,2010-04,23.4
184,2010-05,22.2
185,2010-06,20.6
186,2010-07,19.2
187,2010-08,19.8
188,2010-09,20.3
189,2010-10,21.2
190,2010-11,22.5
191,2010-12,22.7
192,2011-01,23.8
193,2011-02,24.8
194,2011-03,24.3
195,2011-04,23.8
196,2011-05,21.9
197,2011-06,20.7
198,2011-07,20.0
199,2011-08,19.5
200,2011-09,20.3
201,2011-10,21.3
202,2011-11,21.5
203,2011-12,22.5
204,2012-01,24.2
205,2012-02,25.8
206,2012-03,25.4
207,2012-04,22.8
208,2012-05,21.8
209,2012-06,20.3
210,2012-07,19.3
211,2012-08,19.7
212,2012-09,20.1
213,2012-10,21.6
214,2012-11,22.2
215,2012-12,22.3
216,2013-01,23.8
217,2013-02,24.6
218,2013-03,23.7
219,2013-04,23.2
220,2013-05,21.8
221,2013-06,19.9
222,2013-07,19.0
223,2013-08,19.2
224,2013-09,20.4
225,2013-10,20.8
226,2013-11,21.6
227,2013-12,22.5
228,2014-01,23.4
229,2014-02,23.5
230,2014-03,24.0
231,2014-04,23.0
232,2014-05,21.7
233,2014-06,20.7
234,2014-07,19.5
235,2014-08,19.4
236,2014-09,20.1
237,2014-10,20.8
238,2014-11,21.7
239,2014-12,22.6
240,2015-01,24.0
241,2015-02,24.8
242,2015-03,25.2
243,2015-04,23.1
244,2015-05,22.1
245,2015-06,20.7
246,2015-07,20.5
247,2015-08,20.8
248,2015-09,21.8
249,2015-10,21.5
250,2015-11,22.0
251,2015-12,22.4
252,2016-01,23.3
253,2016-02,24.7
254,2016-03,25.4
255,2016-04,23.1
256,2016-05,21.8
257,2016-06,20.6
258,2016-07,19.8
259,2016-08,20.0
260,2016-09,20.8
261,2016-10,21.3
262,2016-11,22.1
263,2016-12,23.2
264,2017-01,25.2
265,2017-02,24.6
266,2017-03,25.1
267,2017-04,23.7
268,2017-05,22.0
269,2017-06,21.0
270,2017-07,19.7
271,2017-08,19.6
272,2017-09,20.1
273,2017-10,21.4
274,2017-11,22.0
275,2017-12,23.7
