Date,Prc.,Tmp. min.,Tmp. max.,Rel. Hum.
1995-01,13,20.1,28.5,37
1995-02,147,20.6,28.3,43.5
1995-03,241,20.3,28,52.5
1995-04,496,20.5,27.8,61.8
1995-05,421,20.1,27.2,65.2
1995-06,142,19.8,26.6,59.5
1995-07,125,19.3,24.9,60.5
1995-08,106,19.2,25.4,56.1
1995-09,253,19.1,26,57.7
1995-10,466,19.2,26.4,59.9
1995-11,234,19.1,26.5,55.2
1995-12,86,19.6,27.1,44.8
1996-01,108,19.9,27.5,44.4
1996-02,77,20.7,28.8,40.4
1996-03,297,20.6,28.3,52.9
1996-04,582,20.3,27.6,61.6
1996-05,407,19.8,26.7,65.3
1996-06,228,19.3,24.8,66.9
1996-07,140,19.1,24.6,63.1
1996-08,145,19.2,25.1,59.9
1996-09,286,19.1,25.8,58.8
1996-10,477,18.9,26.1,58.9
1996-11,202,18.9,26.6,50.3
1996-12,33,19.4,26.7,44
1997-01,21,20.3,28.2,38.1
1997-02,2,20.3,30.4,26.8
1997-03,132,20.9,30.4,38.7
1997-04,612,20.1,27.1,62.6
1997-05,434,19.8,26.8,64.1
1997-06,150,19.4,26.5,57.4
1997-07,182,19,25,61.3
1997-08,110,19.1,26.3,53.6
1997-09,95,19.8,28.1,47.3
1997-10,541,19.5,26.3,62.1
1997-11,562,19.3,26.5,60.5
1997-12,470,19.7,26.4,59.6
1998-01,252,20.2,27,56
1998-02,276,20.9,28,52.8
1998-03,67,21.3,29.7,42.9
1998-04,364,21.3,29,54.9
1998-05,541,20.5,27.7,65.1
1998-06,200,19.8,26.3,61.3
1998-07,131,19.4,24.6,61.8
1998-08,118,19.2,24.9,58.3
1998-09,115,19.4,26.6,50.5
1998-10,324,19.4,26,60.2
1998-11,114,18.8,27.1,46.3
1998-12,4,19.4,28.5,32.7
1999-01,10,20.1,29,33.4
1999-02,5,20.4,30.7,29.7
1999-03,418,20.3,27.6,56.3
1999-04,395,20,27.5,59.8
1999-05,341,19.8,26.6,61.2
1999-06,77,19.5,26.2,55
1999-07,100,18.9,24.5,58.7
1999-08,93,19.1,25.7,53.2
1999-09,153,19.1,26.7,49.5
1999-10,287,19.1,25.5,58.7
1999-11,134,18.9,27.4,42.8
1999-13,56,19,27.8,37.5
2000-01,2,20.1,29.7,28.5
2000-02,2,20.6,31,25
2000-03,19,21,31.2,30.1
2000-04,328,20.3,28.3,51.7
2000-05,314,19.9,26.5,62.3
2000-06,90,19.6,26,54.9
2000-07,104,19.3,24.8,56.5
2000-08,109,19.1,24.6,58.8
2000-09,140,19.1,26.5,52.2
2000-10,433,19.1,25.7,62.9
2000-11,190,19,26.6,49
2000-12,54,19.9,27.7,38.5
2001-01,172,20,27.2,42.3
2001-02,55,20.4,28.8,37.6
2001-03,249,20.4,28.7,43.7
2001-04,534,20,27.5,61.2
2001-05,440,20,26.7,63.2
2001-06,162,19.4,25.5,59.7
2001-07,85,19.3,25.3,55.6
2001-08,94,19.5,25.7,54.3
2001-09,363,19.2,26.3,59.9
2001-10,606,19.1,26.4,61.6
2001-11,242,19.1,26.3,52.1
2001-12,26,19.6,27.5,40.7
2002-01,126,20.2,27.7,43.3
2002-02,8,20.5,29.8,31.1
2002-03,386,20.7,27.9,52.4
2002-04,446,20.3,28.1,57.2
2002-05,304,19.9,26.8,62.9
2002-06,96,19.7,25.7,57.6
2002-07,54,19.5,26.2,51.9
2002-08,63,19.4,25.8,51.6
2002-09,147,19.2,26.9,50.6
2002-10,542,19.1,26.3,61
2002-11,194,19.5,27.2,50.1
2002-12,343,19.6,26.9,54.2
2003-01,334,12.2,23.1,47.6
2003-02,97,13.6,24.6,38.8
2003-03,550,13.9,24.4,47.8
2003-04,703,13.9,23.4,59.5
2003-05,1002,13.8,22.3,73
2003-06,466,13.2,19.9,76.2
2003-07,277,12.9,18.9,74.3
2003-08,302,12.9,19.3,74.1
2003-09,639,13,20.7,68.3
2003-10,930,12.6,21.7,66.6
2003-11,408,12.2,22,58.4
2003-12,261,11.4,22.6,49.3
2004-01,306,12.8,23.5,48
2004-02,200,12.8,23.8,45
2004-03,360,13.4,24.5,43.1
2004-04,1137,13.7,22.9,69.3
2004-05,649,13.6,21.8,69.4
2004-06,295,13,20.1,69.4
2004-07,241,12.9,19.4,69.2
2004-08,362,13.2,19.8,69.6
2004-09,718,12.9,20.3,70.7
2004-10,594,12.3,21.3,65.6
2004-11,492,12,21.8,62.2
2004-12,363,12.2,22.2,54.8
2005-01,188,12.2,23.3,43.8
2005-02,71,13,25.6,35.5
2005-03,762,13.8,24,53.8
2005-04,659,14,23.6,58.2
2005-05,1140,13.8,21.8,75.7
2005-06,347,13.5,20.1,75
2005-07,263,13,19.3,71.7
2005-08,307,13.4,20,68.5
2005-09,468,13.3,20.7,67.7
2005-10,919,12.4,21.1,70.9
2005-11,418,11.7,22.1,55.8
2005-12,3,11.8,24.3,35.3
2006-01,83,12.8,24.4,37.8
2006-02,351,13.2,24.3,46
2006-03,743,13.4,23.3,56.3
2006-04,870,13.6,22.7,68.9
2006-05,1145,13.7,22.2,73.6
2006-06,482,13.4,20.7,70.5
2006-07,316,13.6,19.5,72.3
2006-08,407,13.1,19.5,73.7
2006-09,478,13,20,69.5
2006-10,1077,12.8,21.2,72.2
2006-11,633,12,21.7,64.1
2006-12,548,12.2,22,59.7
2007-01,307,12.8,22.9,52.5
2007-02,415,13.2,23.8,48.9
2007-03,366,13.6,24.4,47
2007-04,767,13.8,23.3,61.3
2007-05,739,13.8,22.2,73.2
2007-06,335,13.3,20,74.2
2007-07,246,13.3,19.5,72.4
2007-08,445,13,19.3,77.7
2007-09,801,13,20.3,73.9
2007-10,814,12.1,21.2,68.1
2007-11,272,11.8,22.1,54.8
2007-12,7,11.5,23.4,39.4
2008-01,58,13,24.4,37.6
