,Date,mm in mm
0,1995-01,13
1,1995-02,147
2,1995-03,241
3,1995-04,496
4,1995-05,421
5,1995-06,142
6,1995-07,125
7,1995-08,106
8,1995-09,253
9,1995-10,466
10,1995-11,234
11,1995-12,86
12,1996-01,108
13,1996-02,77
14,1996-03,297
15,1996-04,582
16,1996-05,407
17,1996-06,228
18,1996-07,140
19,1996-08,145
20,1996-09,286
21,1996-10,477
22,1996-11,202
23,1996-12,33
24,1997-01,21
25,1997-02,2
26,1997-03,132
27,1997-04,612
28,1997-05,434
29,1997-06,150
30,1997-07,182
31,1997-08,110
32,1997-09,95
33,1997-10,541
34,1997-11,562
35,1997-12,470
36,1998-01,252
37,1998-02,276
38,1998-03,67
39,1998-04,364
40,1998-05,541
41,1998-06,200
42,1998-07,131
43,1998-08,118
44,1998-09,115
45,1998-10,324
46,1998-11,114
47,1998-12,4
48,1999-01,10
49,1999-02,5
50,1999-03,418
51,1999-04,395
52,1999-05,341
53,1999-06,77
54,1999-07,100
55,1999-08,93
56,1999-09,153
57,1999-10,287
58,1999-11,134
59,1999-13,56
60,2000-01,2
61,2000-02,2
62,2000-03,19
63,2000-04,328
64,2000-05,314
65,2000-06,90
66,2000-07,104
67,2000-08,109
68,2000-09,140
69,2000-10,433
70,2000-11,190
71,2000-12,54
72,2001-01,172
73,2001-02,55
74,2001-03,249
75,2001-04,534
76,2001-05,440
77,2001-06,162
78,2001-07,85
79,2001-08,94
80,2001-09,363
81,2001-10,606
82,2001-11,242
83,2001-12,26
84,2002-01,126
85,2002-02,8
86,2002-03,386
87,2002-04,446
88,2002-05,304
89,2002-06,96
90,2002-07,54
91,2002-08,63
92,2002-09,147
93,2002-10,542
94,2002-11,194
95,2002-12,343
96,2003-01,334
97,2003-02,97
98,2003-03,550
99,2003-04,703
100,2003-05,1002
101,2003-06,466
102,2003-07,277
103,2003-08,302
104,2003-09,639
105,2003-10,930
106,2003-11,408
107,2003-12,261
108,2004-01,306
109,2004-02,200
110,2004-03,360
111,2004-04,1137
112,2004-05,649
113,2004-06,295
114,2004-07,241
115,2004-08,362
116,2004-09,718
117,2004-10,594
118,2004-11,492
119,2004-12,363
120,2005-01,188
121,2005-02,71
122,2005-03,762
123,2005-04,659
124,2005-05,1140
125,2005-06,347
126,2005-07,263
127,2005-08,307
128,2005-09,468
129,2005-10,919
130,2005-11,418
131,2005-12,3
132,2006-01,83
133,2006-02,351
134,2006-03,743
135,2006-04,870
136,2006-05,1145
137,2006-06,482
138,2006-07,316
139,2006-08,407
140,2006-09,478
141,2006-10,1077
142,2006-11,633
143,2006-12,548
144,2007-01,307
145,2007-02,415
146,2007-03,366
147,2007-04,767
148,2007-05,739
149,2007-06,335
150,2007-07,246
151,2007-08,445
152,2007-09,801
153,2007-10,814
154,2007-11,272
155,2007-12,7
156,2008-01,58
